word,freq
sehemu,1
Walipofika,1
a,1
Aaa,1
acukua,1
adabu,1
aenda,1
afazadi,1
afika,1
Afrika,2
aina,4
ajifunza,1
ajua,1
akaa,7
akaalika,2
akaalikwa,1
akaamka,1
akaanza,4
akaapa,1
akaenda,2
akafanya,2
akafariki,1
akafika,2
akafunga,1
akahuzunika,1
akaingia,1
akaitika,2
akajielekeza,1
akajiendea,1
akajinunulie,1
akajitupa,1
akakata,1
akakimbi,1
akakimbia,1
akakusanya,1
akakuta,3
akala,1
akamamwambia,1
akamcukua,1
akamfuata,1
akamjibu,1
aka_jibu,4
akamkamata,1
akamkuta,1
akamouamba,1
akamsalimia,1
akamtafutie,1
akamuambia,4
akamuendea,2
akamuomba,1
akamuona,2
akamuone,1
akamuuliza,2
akanywa,1
akaomba,1
akaona,1
akapatwa,1
akapona,1
akarejea,1
akarudi,1
akaruka,1
akasema,8
akashika,1
akashikwa,1
akashindwa,1
akashtuka,1
akashusha,1
akasikia,1
akata,1
akatoka,1
akauliza,1
akaunasa,1
akaunga,1
akawa,1
Akawaalika,1
Akawaambia,1
akawaita,1
akemaliza,1
akesema,1
akeshiba,1
akienda,1
akifika,1
akiisha,1
akikata,1
akili,3
aki_culia,1
akiniuliza,1
akiponya,1
akitafuta,1
akitaka,1
akituliza,1
akiwa,1
akiwapa,1
alala,1
Ali,3
alianza,1
alifica,1
alifika,1
alikoenda,1
alikosa,1
alikuwa,5
alima,1
ali_letea,1
ali_tembelea,1
aliniletea,1
aliokuwa,1
alipenda,1
Alipoenda,1
alipofika,7
alipojiona,1
alipolala,1
alipoona,5
aliposikia,1
alipotaka,1
Alipotoka,1
alitoka,1
alitua,1
alitunzwa,1
aliumwa,3
aliyetoa,1
Alua,1
amani,1
ambamo,1
amealikwa,1
ameceza,1
amecukua,1
amefanya,1
amefika,2
amehamishwa,1
ameharibu,1
amejifunza,1
amekwisha,2
amemletea,1
amempasulia,1
amempeleka,1
ame_peleka,1
amemsema,1
amemshusha,1
amemtuma,1
amenasa,1
Amerika,1
ameshindwa,1
ametajwa,1
ametega,2
ametufikia,1
Ametumwa,1
ametununulia,1
ametusomesha,1
ametwaa,1
amevaa,1
amevunja,1
amewasataki,1
amewasha,1
amnyonyesha,1
a_shushe,1
amuimbie,1
Amuri,1
amvushe,1
ana,13
anaamka,1
anajipumzisha,1
anajua,2
anakaa,1
anakula,1
anamdai,1
anamenya,1
anamjua,1
anamkaribisha,1
anamlalisha,1
anamlea,1
anamtafuta,1
anapashwa,2
anapendwa,1
anapofanya,1
anapokuwa,1
anapokwenda,1
anaponyesha,1
anastahili,1
anataka,2
anatapanya,1
Anato,1
anatumika,1
anatunza,1
